RS No.,Company Name,Business Registration No.,Registered Address,Office Contact Number,Office Fax Number,Office E-mail,Date of Registration,Expiry Date of Current Registration,Registered Trades (Code :: Specialty)
R000051,Intrafor Hong Kong Limited,32417685,"15/F, South Island Place, 8, Wong Chuk Hang Road, Southern, Hong Kong",25902288,25900290,intrafor@vsl-intrafor.com,2 Mar 2026,1 Mar 2029,01.02 Foundation and Piling :: Sheet piles | 01.02 Foundation and Piling :: Bored piles | 01.02 Foundation and Piling :: Driven piles | 01.02 Foundation and Piling :: Diaphragm walls | 01.02 Foundation and Piling :: Micro piles | 01.09 General Civil Works :: Ground investigation | 01.10 Other Structural and Civil Trades :: Pre-stressing system
R000128,Oriental Boring & Engineering Limited,01073351,"Room A, 20/F, Gee Chang Hong Center, 65, Wong Chuk Hang Road, Southern, Hong Kong",27108663,27109128,1960obe@obehk.com,17 Mar 2026,16 Mar 2029,01.02 Foundation and Piling | 01.02 Foundation and Piling :: Sheet piles | 01.02 Foundation and Piling :: Bored piles | 01.02 Foundation and Piling :: Driven piles | 01.02 Foundation and Piling :: Diaphragm walls | 01.02 Foundation and Piling :: Micro piles | 01.02 Foundation and Piling :: Others(Pre-bored Socketted H-Piles) | 01.09 General Civil Works :: Earthwork | 01.09 General Civil Works :: Geotechnical works | 01.09 General Civil Works :: Marine works | 01.09 General Civil Works :: Ground investigation | 04.04 Hoarding
R000267,Vibro (H.K.) Limited,00008260,"11/F, Chevalier Commercial Centre, 8, Wang Hoi Road, Kowloon Bay, Kwun Tong, Kowloon",21375500,21375599,email@vibro.com.hk,30 Apr 2026,29 Apr 2029,01.02 Foundation and Piling :: Sheet piles | 01.02 Foundation and Piling :: Bored piles | 01.02 Foundation and Piling :: Driven piles | 01.02 Foundation and Piling :: Diaphragm walls | 01.02 Foundation and Piling :: Micro piles | 01.02 Foundation and Piling :: Hand-dug caisson | 01.09 General Civil Works :: Earthwork | 01.09 General Civil Works :: Roadworks | 01.09 General Civil Works :: Road drainage and sewer | 01.09 General Civil Works :: Geotechnical works | 01.09 General Civil Works :: Ground investigation
R000318,Kin Wing Engineering Company Limited,17783865,"Block A&B, 9/F, Phase 6, Hong Kong Spinners Industrial Building, 481-483, Castle Peak Road, Sham Shui Po, Kowloon",24156509,24900173,kwecoltd@kinwing.com.hk,19 May 2026,18 May 2029,01.02 Foundation and Piling :: Sheet piles | 01.02 Foundation and Piling :: Bored piles | 01.02 Foundation and Piling :: Driven piles | 01.02 Foundation and Piling :: Micro piles | 01.09 General Civil Works :: Earthwork | 01.09 General Civil Works :: Road drainage and sewer | 01.09 General Civil Works :: Geotechnical works | 01.09 General Civil Works :: Ground investigation
R000319,Kin Wing Foundations Limited,19062900,"Block A&B, 9/F, Phase 6, Hong Kong Spinners Industrial Building, 481-483, Castle Peak Road, Sham Shui Po, Kowloon",24156509,24900173,kwecoltd@kinwing.com.hk,19 May 2026,18 May 2029,01.02 Foundation and Piling :: Sheet piles | 01.02 Foundation and Piling :: Bored piles | 01.02 Foundation and Piling :: Driven piles | 01.02 Foundation and Piling :: Micro piles | 01.09 General Civil Works :: Earthwork | 01.09 General Civil Works :: Road drainage and sewer | 01.09 General Civil Works :: Geotechnical works | 01.09 General Civil Works :: Ground investigation
R000327,Bachy Soletanche Group Limited,22154910,"Room 03-06, 15/F, Wing On Kowloon Centre, 345, Nathan Road, Yau Tsim Mong, Kowloon",23692869,27220227,bsg@soletanche-bachy.com,19 May 2026,18 May 2029,01.02 Foundation and Piling | 01.02 Foundation and Piling :: Sheet piles | 01.02 Foundation and Piling :: Bored piles | 01.02 Foundation and Piling :: Driven piles | 01.02 Foundation and Piling :: Diaphragm walls | 01.02 Foundation and Piling :: Micro piles | 01.09 General Civil Works | 01.09 General Civil Works :: Marine works | 01.09 General Civil Works :: Ground investigation
R000394,Shun Yip Construction Co Ltd,05348001,"Room A, 3/F, Singwa Commercial Building, 26-32, Parkes Street, Yau Tsim Mong, Kowloon",27303327,27301319,shunyip@netvigator.com,19 May 2026,18 May 2029,01.02 Foundation and Piling :: Sheet piles | 01.02 Foundation and Piling :: Bored piles | 01.02 Foundation and Piling :: Diaphragm walls | 01.02 Foundation and Piling :: Micro piles | 01.09 General Civil Works :: Road drainage and sewer
R000443,Wan Kei Geotechnical Engineering Company Limited,19080085,"Room 6&8, 9/F, Block A, Fuk Keung Industrial Building, 66-68, Tong Mi Road, Yau Tsim Mong, Kowloon",23926488,82028213,wankeigeo@outlook.com,17 Jun 2026,16 Jun 2029,01.02 Foundation and Piling :: Sheet piles | 01.02 Foundation and Piling :: Bored piles | 01.02 Foundation and Piling :: Driven piles | 01.02 Foundation and Piling :: Diaphragm walls | 01.02 Foundation and Piling :: Micro piles | 01.10 Other Structural and Civil Trades :: Others(Grout Curtain)
R000514,DrilTech Ground Engineering Limited,20428391,"Block A & B, 8/F, Phase VI, Hong Kong Spinners Industrial Building, 481-483, Castle Peak Road, Sham Shui Po, Kowloon",23710008,27441037,driltech@driltech.com.hk,17 Jun 2026,16 Jun 2029,01.02 Foundation and Piling :: Sheet piles | 01.02 Foundation and Piling :: Bored piles | 01.02 Foundation and Piling :: Driven piles | 01.02 Foundation and Piling :: Micro piles | 01.09 General Civil Works :: Geotechnical works | 01.09 General Civil Works :: Ground investigation
R000591,Wai Hung Construction Engineering Company Limited,19546827,"Room 506, Tower B, Hung Hom Commercial Centre, 37-39, Ma Tau Wai Road, Kowloon",23650339,23627540,info@waihung.com.hk,21 Jul 2023,20 Jul 2026,01.02 Foundation and Piling :: Bored piles | 01.02 Foundation and Piling :: Micro piles | 01.09 General Civil Works :: Earthwork | 01.09 General Civil Works :: Roadworks | 01.09 General Civil Works :: Road drainage and sewer | 01.10 Other Structural and Civil Trades :: Expansion joints
